community link,community title,jupiter id,hydra noid,fedora3 uuid,Scholaris Link
https://era.library.ualberta.ca/communities/8437e2a0-60f5-4601-90c1-38c148768c8b,"Family Medicine, Department of",8437e2a0-60f5-4601-90c1-38c148768c8b,44558r618,uuid:204ebba4-2ddc-427e-b4a8-4ab85c13feee,https://ualberta-dev.scholaris.ca/handle/123456789/1533
https://era.library.ualberta.ca/communities/84e82477-4ff8-455f-bb95-6a1890d60949,"Educational Policy Studies, Department of",84e82477-4ff8-455f-bb95-6a1890d60949,,,https://ualberta-dev.scholaris.ca/handle/123456789/1536
https://era.library.ualberta.ca/communities/89825615-abc5-4fa8-bd55-d6288cff9cda,ERA General Collection,89825615-abc5-4fa8-bd55-d6288cff9cda,44558r13m,uuid:cc26f7c0-a8c1-4113-99fb-584540c5e98b,https://ualberta-dev.scholaris.ca/handle/123456789/1538
https://era.library.ualberta.ca/communities/8ab3a896-bbb7-40b7-9c76-4f19830e0c9d,Certificate in Computer Game Development,8ab3a896-bbb7-40b7-9c76-4f19830e0c9d,,,https://ualberta-dev.scholaris.ca/handle/123456789/1540
https://era.library.ualberta.ca/communities/8eecb737-9733-4319-bd57-f93665d7176d,Canadian Health Services and Policy Research Alliance (CHSPRA),8eecb737-9733-4319-bd57-f93665d7176d,,,https://ualberta-dev.scholaris.ca/handle/123456789/1543
https://era.library.ualberta.ca/communities/8f446adf-bae4-49f5-84b7-6195718ca844,Toolkit for Grant Success,8f446adf-bae4-49f5-84b7-6195718ca844,,,https://ualberta-dev.scholaris.ca/handle/123456789/1545
https://era.library.ualberta.ca/communities/8fb878c6-6720-4a8f-afa8-6358dab0201c,"Computing Science, Department of",8fb878c6-6720-4a8f-afa8-6358dab0201c,44558r201,uuid:78cb4c52-d943-4879-96f7-bdc4424620a8,https://ualberta-dev.scholaris.ca/handle/123456789/1547
https://era.library.ualberta.ca/communities/90b3539f-2198-4058-9786-5e3ccd9e671a,Campus Data Summit Series,90b3539f-2198-4058-9786-5e3ccd9e671a,44558r34c,uuid:d3d6ece8-30f5-4011-a7a1-f0602036b111,https://ualberta-dev.scholaris.ca/handle/123456789/1553
https://era.library.ualberta.ca/communities/923a7e44-c6c0-43c1-bf15-2e768ddfc3e1,"Political Science, Department of",923a7e44-c6c0-43c1-bf15-2e768ddfc3e1,44558r17q,uuid:af8d8624-b6f5-4869-b7fb-2ad591829378,https://ualberta-dev.scholaris.ca/handle/123456789/1559
https://era.library.ualberta.ca/communities/9370d399-0059-44fc-ab14-67b829ed2b00,Testing community,9370d399-0059-44fc-ab14-67b829ed2b00,,,https://ualberta-dev.scholaris.ca/handle/123456789/1562
https://era.library.ualberta.ca/communities/9af1a803-0230-41f9-a4d7-aac17ec98886,"Native Studies, Faculty of",9af1a803-0230-41f9-a4d7-aac17ec98886,,,https://ualberta-dev.scholaris.ca/handle/123456789/1567
